,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
I868,War 5,Scenery,Pixabay,2.455445545,1.452754298,101,4.388349515,2.161304117,103
I869,War 6,Person,Pixabay,1.392156863,0.880558584,102,5.01980198,2.068720368,101
I870,War 7,Person,Pixabay,3.178217822,1.791066942,101,4.252427184,1.913412139,103
I871,War 8,Scenery,Pixabay,1.715686275,0.958313814,102,5.138613861,1.76085038,101
I872,Waterfall 1,Scenery,Pixabay,5.431372549,1.147617454,102,4.00990099,1.565215956,101
I873,Weapon 1,Object,Wikipedia,2.842592593,1.381872203,108,3.798076923,1.77567057,104
I874,Wedding 1,Person,Pixabay,5.673267327,1.158524155,101,4.097087379,1.593581262,103
I875,Wedding 2,Person,Pixabay,5.784313725,1.165744151,102,3.841584158,1.629310733,101
I876,Wedding 3,Person,Pixabay,5.784313725,1.294523506,102,4.108910891,1.630343461,101
I877,Wedding 4,Object,Pixabay,5.814814815,0.996706241,108,3.115384615,1.614904442,104
I878,Wedding 5,Person,Pixabay,5.735294118,1.250160153,102,4.198019802,1.631072052,101
I879,Wedding 6,Person,Pixabay,6,0.989949494,101,3.922330097,1.531943021,103
I880,Wedding 7,Object,Pixabay,5.284313725,1.221729427,102,3.247524752,1.558242219,101
I881,Wedding 8,Object,Pixabay,5.62745098,1.116231005,102,3.861386139,1.612635749,101
I882,Wedding 9,Person,Pixabay,5.764705882,1.195507023,102,4.04950495,1.545161724,101
I883,Wedding 10,Person,Pixabay,5.794117647,1.137464919,102,4.158415842,1.598328335,101
I884,Wedding 11,Object,Pixabay,5.019607843,1.13434582,102,3.485148515,1.546698816,101
I885,Wedding 12,Scenery,Pixabay,4.898148148,1.031647035,108,2.5,1.526465554,104
I886,Wedding ring 1,Object,Pixabay,5.754901961,1.138317975,102,3.663366337,1.674975986,101
I887,Windmill 1,Object,Pixabay,3.166666667,1.513181954,108,2.538461538,1.538648234,104
I888,Wolf 1,Animal,Pixabay,5.455445545,1.109276814,101,4.27184466,1.59160897,103
I889,Wolf 2,Animal,Flickr/Tambako The Jaguar,3.088235294,1.343137609,102,4.673267327,1.61931412,101
I890,Woods 1,Scenery,Pixabay,3.784313725,1.271371373,102,3.168316832,1.50379059,101
I891,Yarn 1,Object,Pixabay,2.598039216,1.470904645,102,1.871287129,1.262246936,101
I892,Yarn 2,Object,Pixabay,4.108910891,0.444994159,101,2.165048544,1.400959667,103
I893,Yarn 3,Object,Pixabay,4.303921569,0.70062512,102,1.940594059,1.310128102,101
I894,Yarn 4,Object,Pixabay,4.203703704,0.507131557,108,1.980769231,1.314451188,104
I895,Yoga 1,Person,Pixabay,5.564814815,1.061414575,108,3.471153846,1.618801731,104
I896,Yoga 2,Person,Pixabay,3.092592593,1.531824622,108,3.125,1.605134359,104
I897,Yoga 3,Person,Pixabay,5.490196078,0.951758123,102,3.643564356,1.47366318,101
I898,Yoga 4,Person,Pixabay,5.725490196,1.00648258,102,3.99009901,1.841168376,101
I899,Yoga 5,Person,Pixabay,3.450980392,1.532663836,102,3.297029703,1.700262065,101
I900,Zebra 1,Animal,Pixabay,5.805555556,0.96148574,108,3.567307692,1.653266394,104
